ajol_id,author
250120,M. Nel
250121,C. Owiredu
250122,C.W. Stenschke
250132,P. Strauss
250123,R. Tucker
250126,W. Wessels
250128,M. Laubscher
250130,W.J. Schoeman
250136,D. Pietersen
250125,B. Ott
250125,V. Kessler
250127,B. Ott
250129,E. Oliver
250133,C. Lombaard
250134,M. Naidoo
250135,M.S. Kgatle
250139,C. Stenschke
250140,M. Hagel
250141,J. Barentsen
250143,V. Kessler
250144,S. Knecht
250145,J. Schröder
250146,M. Ehmann
250149,T. Kroeck
250151,A. Stavnichuk
250131,D. Pietersen
251434,J.S. van der Walt
251473,N.L. de Claissé- Walford
251478,L. Sutton
251481,M.D. Terblanche
251495,J. Thomaskutty
251487,D.F. Tolmie
251488,L.M. Mudimeli
251488,J. van der Westhuizen
251489,K.T. Resane
251490,S.G. de Claissé-Walford
251492,S.E. Dry
251418,M. Laubscher
251420,N.S. Cezula
251424,G.A. Duncan
251429,J.W. Hofmeyr
251431,S.I. Kang
251433,C. Lombaard
251436,P. Strauss
251438,M. Laubscher
251441,C. Stenschke
251439,J. Meyer
251443,R.S. Tshaka
251444,H. van der Westhuizen
251447,C. Stenschke
251217,M. Laubscher
251219,G. Andrade
251220,P.J. Botha
251221,P. la G. du Toit
251224,D.G. Firth
251228,Q. Jere
251230,G.E. Lier
251232,V. Magezi
251232,C. Mutowa
251235,B. van de Beek
251239,E.A.J.G Van der Borght
251241,H.J.C. Pieterse
251243,M. Laubscher
251244,M. Maree
251191,M. Laubscher
251198,V.U. Iheanacho
251192,A.R. Brunsdon
251195,G.E. Dames
251196,B. Dube
251197,F. England
251199,S. Joynt
251200,C.J. Kaunda
251201,J.-C. Loba Mkole
251202,F. Manni
251203,K.J. Pali
251206,P. Singsuriya
251207,C. Stenschke
251208,C. Stenschke
251209,I. Nell
250190,M. Laubscher
250258,D. Quampah
250258,M. Naidoo
250191,J.E. Alcántara
250192,S.A. Brown
250193,C. Gouws
250194,A. Hancock
250197,S. Hoezee
250200,E. Kloppers
250201,P. Lampe
250205,D.J. Louw
250213,A.H. Verhoef
250213,J. du Toit
250213,P. du Preez
250221,D.T. Banda
250221,L. Banda
250221,M. Blok
250221,M. Naidoo
250225,W. Bentley
250231,M.J. Havenga
250237,C.J. Kaunda
250240,S. Mahomva
250240,I.M. Bredenkamp
250240,W.J. Schoeman
250245,M. Naidoo
250252,A.C. Pieterse
250265,W.J. Schoeman
250267,D. Ver Elst
250269,W. Wessels
250271,M. Laubscher
250275,M. Laubscher
250277,M. Laubscher
250281,M. Laubscher
250284,M. Laubscher
250186,D.F. Tolmie
250187,I.C. Berg
250188,G.E. Dames
250325,J. Dickie
250328,F.E. Freeks
250330,M.J. Obiorah
250330,N.C. Okafor
250331,W.H. Oliver
250331,E. Oliver
250332,S.D. Snyman
250333,A. van de Beek
250334,D.P. Veldsman
250335,W. Wessels
250336,M. Laubscher
250337,M. Laubscher
250158,C.A.M. Hermans
250150,C.A.M. Hermans
250152,F.V. Anthony
250152,C.A.M. Hermans
250153,J.M. Morenammele
250153,W.J. Schoeman
250154,J. Copier
250154,C.A.M. Hermans
250154,Theo van der Zee
250155,G.J. van Wyngaard
250156,L. Venter
250156,C.A.M. Hermans
250157,C.A.M. Hermans
250157,L. Kornet
250211,J.W. De Gruchy
250212,G.E. Thiessen
250215,M.J. Havenga
250216,H. van der Westhuizen
250217,N. Marais
250219,A.M. Coates
250228,M. Louw
250230,G.J. van Wyngaard
250232,H.A. Auret
250234,W. Wessels
250235,T. van Wyk
250312,R. Venter
250358,C.A.M. Hermans
250359,P. Houston
250360,E. Kloppers
250361,F.P. Kruger
250362,D.J. Louw
250363,D.I. Manomi
250364,A. Potgieter
250365,J.S. van der Watt
250366,E. van Eck
250366,D. Sakitey
250367,R. Zimmermann
250368,L. Hoffman
250369,L. Hoffman
164424,H van der Westhuizen
164426,Y.S. Han
164426,J. Beyers
164443,C.A.M. Hermans
164446,M. Laubscher
164451,N. Marais
164458,M. Nel
164459,M.J. Nel
164460,C. Oancea
164461,H. van der Westhuizen
164462,A.H. Verhoef
164463,W. Wessels
164464,Ferdi P. Kruger
164465,M. Laubscher
164466,Thomas Long
164417,D. Goosen
164417,Jaco Kruger
164419,G. Ward
164420,J. Milbank
164421,D. Goosen
