source_id,area
1564,Humanities (broad subject range)
1221,Humanities (broad subject range)
1010,Humanities (broad subject range)
1359,Humanities (broad subject range)
1021,Humanities (broad subject range)
1024,Humanities (broad subject range)
1025,Humanities (broad subject range)
1026,Humanities (broad subject range)
1027,Humanities (broad subject range)
1028,Humanities (broad subject range)
1540,Humanities (broad subject range)
1580,Humanities (broad subject range)
1233,Humanities (broad subject range)
1370,Humanities (broad subject range)
1371,Humanities (broad subject range)
1042,Humanities (broad subject range)
1591,Humanities (broad subject range)
1046,Humanities (broad subject range)
1242,Humanities (broad subject range)
1383,Humanities (broad subject range)
1048,Humanities (broad subject range)
1245,Humanities (broad subject range)
1050,Humanities (broad subject range)
1601,Humanities (broad subject range)
1545,Humanities (broad subject range)
1054,Humanities (broad subject range)
1603,Humanities (broad subject range)
1066,Humanities (broad subject range)
1609,Humanities (broad subject range)
1257,Humanities (broad subject range)
1258,Humanities (broad subject range)
1611,Humanities (broad subject range)
1262,Humanities (broad subject range)
1263,Humanities (broad subject range)
1405,Humanities (broad subject range)
1407,Humanities (broad subject range)
1081,Humanities (broad subject range)
1546,Humanities (broad subject range)
1083,Humanities (broad subject range)
1410,Humanities (broad subject range)
1265,Humanities (broad subject range)
1619,Humanities (broad subject range)
1088,Humanities (broad subject range)
1090,Humanities (broad subject range)
1416,Humanities (broad subject range)
1094,Humanities (broad subject range)
1271,Humanities (broad subject range)
1098,Humanities (broad subject range)
1548,Humanities (broad subject range)
1429,Humanities (broad subject range)
1105,Humanities (broad subject range)
1638,Humanities (broad subject range)
1640,Humanities (broad subject range)
1445,Humanities (broad subject range)
1283,Humanities (broad subject range)
1550,Humanities (broad subject range)
1285,Humanities (broad subject range)
1288,Humanities (broad subject range)
1292,Humanities (broad subject range)
1114,Humanities (broad subject range)
1119,Humanities (broad subject range)
1122,Humanities (broad subject range)
1123,Humanities (broad subject range)
1124,Humanities (broad subject range)
1653,Humanities (broad subject range)
1716,Humanities (broad subject range)
1130,Humanities (broad subject range)
1733,Humanities (broad subject range)
1657,Humanities (broad subject range)
1305,Humanities (broad subject range)
1659,Humanities (broad subject range)
1306,Humanities (broad subject range)
1133,Humanities (broad subject range)
1138,Humanities (broad subject range)
1668,Humanities (broad subject range)
1145,Humanities (broad subject range)
1148,Humanities (broad subject range)
1677,Humanities (broad subject range)
1316,Humanities (broad subject range)
