"id","work_id"
166972,2572349878
168781,3165272826
167001,2741575545
167523,2525363784
168767,2335637720
168776,2319825280
168778,2318303522
168771,2333447464
168772,2332943173
168766,2313464420
168780,2334128271
168770,2330665909
168769,2313839889
168779,2327717595
169669,2667261982
169667,2668061242
169662,2673304342
169663,2666810334
169670,2661836765
169664,2716792962
169652,2666059300
169654,2653616928
170051,2482342528
169679,2681859511
169783,2320012964
169688,2702562851
169770,2205273110
169681,2640753059
169687,2676405341
169674,2722972883
169690,2669576236
169766,2321555141
169676,2710085464
169867,2394760070
169866,2405844139
169772,2321291855
169769,2321686345
169782,2329359288
170050,2502121524
170040,2481470291
169771,2321528335
170041,2498215515
170044,2494796576
169845,2403189913
169865,2403200987
169833,2398228370
167511,2524436607
170052,2502571534
170053,2496849683
167022,2604687098
170049,2485755216
169863,2400716557
169850,2398219507
166971,2576627533
169864,2403557217
169827,2398297401
169791,2400249931
170046,2488699109
170048,2487987322
170047,2482354673
170045,2482846541
170043,2489860575
167515,2525193261
166987,2576895739
166981,2576624919
167020,2605353761
167013,2604920477
167019,2604233871
167018,2604533708
167513,2523913764
166985,2575017542
166980,2576814948
166986,2571831147
166984,2573847923
166983,2576285820
166999,2741528761
167516,2525677429
167014,2604974624
166973,2576296103
167520,2525806723
167522,2526098294
167536,2525851967
167543,2524289017
167514,2527363169
170058,2526599145
166975,2572476429
167069,2788911239
167004,2741936545
166978,2573588928
167002,2740435359
166979,2575606492
167008,2604938074
166988,2604462560
166995,2739583243
167058,2762583171
167000,2741531188
166976,2579182347
167007,2604844308
167065,2789077775
167005,2740068243
167003,2740136639
166994,2739859203
167006,2604290637
167011,2605338543
166977,2574951109
166997,2604333407
167010,2604363755
167070,2789043861
166990,2741067911
167016,2764240711
167059,2764197723
167072,2789203038
167057,3045964113
166992,2740734536
167068,2787951791
167066,2788699603
166993,2741257672
166996,3159430511
166991,2740552485
167061,2788458597
167017,2763423366
167064,2787981177
167028,2762021016
167021,2763256736
166998,2741692408
167062,2788459510
170955,2800817044
167073,2789038465
166989,2741564255
170950,2801900036
170962,2800352166
170956,2800550272
167031,2763856287
170951,2802047291
167063,2788770112
167024,2763659996
167056,2763522474
167055,2760881974
170932,2800124357
170943,2800521355
170957,2801104402
167026,2761120810
170963,2802140244
167060,2788213021
175924,2884230483
170944,2800320957
175915,2884984156
175931,2882981614
170959,2802016351
170947,2801970802
170945,2799615705
170965,2801862194
175913,2884246385
175912,2884621346
175911,2883537376
175930,2884545071
175926,2884053554
175934,2884046985
175916,2884825004
175919,2883404609
175929,2884208740
175935,2883105685
175922,3158838357
170961,2800192916
175914,2883787228
175920,2883797306
175918,2884966093
182244,2900908532
175932,2883548248
95308,2900820417
175933,2884731802
175936,2883704581
175917,2884787527
182249,2900746883
182251,2901173877
182254,2901878112
182257,2901689093
182271,2901906854
182276,2900625436
182279,2901799057
182281,2901899411
82579,1530350460
82596,1527342958
82689,2107466294
86213,1541986584
87998,2076595532
88025,2044948263
88347,2053494982
88348,2064350784
88350,2004770306
88351,2014635287
88352,1990273104
88353,1965534078
88354,1986966904
88356,2005313819
88359,2043348832
88360,2051103038
88026,2028667167
88027,2033288878
88028,2022775149
88030,1979673492
88031,2064224008
88032,1964716181
88033,2041037177
88034,2030311153
88116,2055817619
