Database_ID,Title,Authors,Year,Journal,Country_Source,DOI,URL,Keywords,Volume,Issue,Database
243526,"Effect of sugarcane bagasse ash and plantain leaf ash on geotechnical properties of clay soil from Efab Estate, Awka, Anambra State",N. M. Ezema; B. Adinna; C. Anayo,2023,Nigerian Journal of Technology,Nigeria,10.4314/njt.v41i6.4,https://www.ajol.info/index.php/njt/article/view/243526,Agricultural wastes; Baggase ash; Plantain leaf ash; stabilization; XRF,41.0,6,AJOL
244548,Evaluation of Pozzolanic Activity of some Clays in Ghana,Z.G. Momade; E. Atiemo,2023,Journal of Science and Technology (Ghana),Ghana,,https://www.ajol.info/index.php/just/article/view/244548,,24.0,1,AJOL
244270,Production of Building Material Inputs in Ghana: A Case Study of Sandcrete Block Manufacturers in Kumasi,Romanus D. Dinye,2023,Journal of Science and Technology (Ghana),Ghana,,https://www.ajol.info/index.php/just/article/view/244270,Building Materials; Sandcrete Blocks; Kumasi; Manufacturing,17.0,3,AJOL
244704,"The Particle Size Distribution of Laterite Soil at Ekosodin, Benin City, Nigeria",N. Kayode-Ojo; J. O. Odemerho,2023,Journal of Applied Sciences and Environmental Management,Nigeria,10.4314/jasem.v27i3.15,https://www.ajol.info/index.php/jasem/article/view/244704,Particle size distribution; Laterite soil; gully erosion; coefficient of curvature,27.0,3,AJOL
247035,Comparison between the Compressive Strength of Binary and Ternary Alkaline-activated Pozzolanic Concrete,M. O. Adeshokan; C. Arum,2023,Journal of Applied Sciences and Environmental Management,Nigeria,10.4314/jasem.v27i4.15,https://www.ajol.info/index.php/jasem/article/view/247035,rice husk ash; metakaolin; compressive strength; pozzolanic concrete,27.0,4,AJOL
247334,Contribution to the study of an eco-material based on earth stabilized by vegetable fibers and aloe-véra juice,Z. Damene; L. Chaoui; A. Chettih,2023,Journal of Fundamental and Applied Sciences,Algeria,,https://www.ajol.info/index.php/jfas/article/view/247334,eco-material; sustainable; Adobe; vegetable fiber; aloe-vera juice,12.0,1,AJOL
248258,Use of glass aggregates as a partial sand replacement: Effects on mortar performance,L. Mechri; S. Benlarbi-Oulhaci; D. Saggaï; L. Benharoune,2023,Journal of Fundamental and Applied Sciences,Algeria,10.4314/jfas.v13i1.23,https://www.ajol.info/index.php/jfas/article/view/248258,Waste glass; alluvial sand; flexural strength; compressive strength; pozzolanic activity,13.0,1,AJOL
248511,Enhancement of kaolin clay soil for civil engineering application using rice husk ash and sawdust ash geopolymer cements,A. B. Salahudeen; N. S. Kpardong; P. M. Francis,2023,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v20i1.1232,https://www.ajol.info/index.php/njtd/article/view/248511,Weak subgrade; Kaolin clay soil; Sawdust ash; Rice husk ash; Geopolymer cements; Flexible pavements,20.0,1,AJOL
248725,Characterisation of cementitious composite materials based on calcined clay activated by silicate from rice husk ash and Ingessil silicate - activator: sodium hydroxide (NaOH),Ludovic Ivan Ntom Nkotto; Gaëlle Dounbissi Kamgang; Lionel Pierre Nkengue; Judicaël Sandjong Kanda; Jordan Valdès Sontia Metekong,2023,"International Journal of Engineering, Science and Technology",Nigeria,10.4314/ijest.v15i2.3,https://www.ajol.info/index.php/ijest/article/view/248725,Clay; rice husk ash; geopolymer binder; composite materials; physico-chemical properties,15.0,2,AJOL
251859,Stabilization of Lateritic Soil with Rubber Wood Ash and Lime for Road Construction,N. Kayode-Ojo; F. Osemwengie,2023,Journal of Applied Sciences and Environmental Management,Nigeria,,https://www.ajol.info/index.php/jasem/article/view/251859,lateritic soil; rubber wood ash; Stabilization; environmental pollution,27.0,7,AJOL
252673,Evaluation of compressive strength and abrasive properties of rice husk ash – cement compressed stabilized earth bricks,A. O. Olumodeji; F. O. Ayodele; K. D. Oluborode,2023,Nigerian Journal of Technology,Nigeria,10.4314/njt.v42i2.5,https://www.ajol.info/index.php/njt/article/view/252673,Earth bricks; Building; Compressive strength; Abrasion; Sustainability,42.0,2,AJOL
262709,Investigating the pozzolanic properties of Canarium schweinfurthii (‘Atili’) seed shell ash as partial replacement for cement in concrete,Ifeanyi Macsylva Ikechelu; Uwemedimo Nyong Wilson; Isa Sani Mohammed; Samson Olalekan Odeyemi; Okereke Chika Eze,2024,ABUAD Journal of Engineering Research and Development,Nigeria,,https://www.ajol.info/index.php/abuadjerd/article/view/262709,Concrete; Compressive Strength; Flexural Strength; Canarium Schweinfurthii Seed Shell Ash (CSSA); X-ray Florescence,6.0,2,AJOL
263123,"Unlocking the potential of bamboo entrepreneurs: Characteristics, innovations, and economic performance in Tanzania's Southern Highlands",P.J. Lyimo; J.S. Japhet; G.E. Kaaya; F.M. Ntenga; K. Masaka; G. Mbeyale; S. Nyefwe,2024,Tanzania Journal of Agricultural Sciences,Tanzania,,https://www.ajol.info/index.php/tjags/article/view/263123,Bamboo; entrepreneurs; innovation; performance,22.0,2,AJOL
263124,"Indigenous knowledge, innovation and utilization technologies of bamboo: A case of Southern Highlands of Tanzania",P.J. Lyimo; J.S. Japhet; G.E. Kaaya; F.M. Ntenga; K. Masaka; G. Mbeyale; S. Nyefwe,2024,Tanzania Journal of Agricultural Sciences,Tanzania,,https://www.ajol.info/index.php/tjags/article/view/263124,Bamboo; Innovation; Indigenous knowledge; Technology and Tanzania,22.0,2,AJOL
264834,Rice husk and snail shell ash as partial replacement of ordinary Portland cement in concrete – A review,,2024,Nigerian Journal of Technology,Nigeria,10.4314/njt.v42i4.2,https://www.ajol.info/index.php/njt/article/view/264834,Carbondioxide emission; Concrete; Global warming; Rice husk ash; Snail shell ash,42.0,4,AJOL
265436,Assessment of Flexural Strengths and Flexural Load Bearing Capacity of Bamboo Grids-Reinforced Soil Beam,,2024,Journal of Applied Sciences and Environmental Management,Nigeria,,https://www.ajol.info/index.php/jasem/article/view/265436,Bamboo grids; biaxial orientation; Flexural strength; Soil beam; uniaxial orientation,28.0,2,AJOL
